country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Italy,4.74,,2.39,3.11,3.27,5.31,5.56,4.66,4.72,5.87,12.9,21.9,14.9,15.2,18.2,12.6,13.2,9.37,13.6,16.9,17.8,19.6,27.8,0.0232,58.1,67,45.2,37.4,39,43.7,42.9,52.7,48.5,21.7,29.8,25,18.8,23.1,28.7,27.2,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,27.1,33.3,21.1,26.3,27.3,24.3,28.4,39.4,51.3,62.1,,,,,,,,29.4,34.7,,23.4,21.1,41.6,46,63.5,76.6,99.6,84.7
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,158,130,114,92.1,85.2,74.8,69.4,66,61.6,57.6,52.4,47.3,41.7
Japan,26.6,30.2,2.92,3.3,26.8,33.6,33.6,36,43,47.9,66.5,84.1,106,121,137,91.9,82.4,56.6,64.1,71.9,63.9,61.3,46.4,59.5,96.1,63.5,51.8,49.5,65.3,72.7,94.6,100,94.6,61,62.5,66.5,53.4,55.5,87.2,89.4,110,99,126,105,121,133
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,7.65,,,,5.23,7.87,9.13,18.4,53.9,39.5,17.4,24.2,18,11.7,11.3,11.1,10.4,18.9,29.3,27.3,20.6,24.8,26.4
Kenya,,,,,,,,,,,,,,,,,,,18.5,42.6,22.3,14.9,13.8,14.8,,9.88,8.05,10.9,28.1,24.2,34.1,44.1,41.8,30.2,25.9,31.8,21.8,,,,,,,,25,21.3
South Korea,,,,,8.05,5.85,5.79,5.63,5,6.38,7.29,11.9,22.3,47.3,56.9,38.9,29.2,30.3,35.5,41.4,32.1,22.8,7.35,29.9,61.5,29.7,42.7,40,46.9,54,76.8,79.2,95.7,45,88.4,95.5,79.5,92.3,90.1,81.7,84,83.7,109,81.9,89.9,132
Kuwait,,,,,,,,,,,,,,,,,,,43.9,40.1,47.7,60.1,97.7,87.7,66.5,51.6,64.9,82.5,127,123,128,105,,,,,,,,,83.9,,,,86.7,100
Lebanon,,,,,,,,,,,,,,,,,,,,,,17.5,17,13.9,10.9,9,6.96,6.93,7.06,10.4,22.4,37,43.3,32.9,36.3,33,22.7,20.6,22.8,23.6,22.8,23.7,21.7,17.6,15,21.1
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,10.1,6.58,8.45,10.2,14.4,17.7,23.4,27.5,23.3,10.5,22.7,34,28.7,24.1,24.4,28.7,24.4,21.2,20.1,16.5,17.7,18.9
Luxembourg,25.6,23.4,22.7,22.2,46,24.1,30,34.8,33.4,36.5,61.2,68.3,85.9,89.9,103,81.8,81.5,76.3,121,161,146,155,173,189,164,160,106,104,126,143,136,185,322,113,193,180,110,118,121,91.8,78.5,97.9,104,69.7,63.3,70
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6,54.6,49.1,46.5,44.3,41.6,51.6,56.6,48,50.7,54
Mexico,0.534,0.9,,0.719,0.89,0.632,0.383,0.932,1.94,1.99,2,4.1,6.13,8.37,12.2,15.7,32.8,38.2,37.9,23.5,23.9,24.7,29.9,16.5,24.4,16.9,15.9,12.8,16,20.9,26.1,34.1,36.1,20.2,37.3,41.1,33.3,41.8,39.6,35.2,33.2,31.5,35,30.6,31.7,35.7
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,33.2,30.7,34,46.6,63.5,66.4,71.1,39.3,46.9,46.4,35.6,38.4,40.3,31.3,39.7,38,38.3,32.8,33.2,33.3
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3,,77.8,77.2,92.7,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,21.5,37.1,33.1,33.6,36.4,40.8,35,26.6,21.2,24.6,32.6,32.2,35.9,70.5,97.2,46.7,72.1,77.5,68.1,61.5,72.7,66.9,60.3,60.1,71,66.8,59.7,54
